2024-10-13 17:05:57,615 - 가상 파일 크기 정보 생성 시작...
2024-10-13 17:05:57,617 - 총 10000개의 가상 파일 크기 정보 생성 완료!
2024-10-13 17:05:57,617 - Data Server가 0.0.0.0:5000에서 실행 중입니다...
2024-10-13 17:05:57,617 - 캐시 서버와 연결 중...
2024-10-13 17:06:03,306 - 캐시 서버 1 연결 완료: ('175.199.62.28', 61411)
2024-10-13 17:06:03,309 - 연결된 ('175.199.62.28', 61411)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,569 - 캐시 서버 2 연결 완료: ('175.199.62.28', 61423)
2024-10-13 17:06:05,572 - 연결된 ('175.199.62.28', 61423)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,573 - 클라이언트 연결 대기 중...
2024-10-13 17:06:08,631 - 클라이언트 연결 완료: ('175.199.62.28', 61439)
2024-10-13 17:06:15,466 - 파일 전송 완료: 파일 번호 194, 크기 194 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 시작: 파일 번호 195, 크기 195 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 완료: 파일 번호 195, 크기 195 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 시작: 파일 번호 198, 크기 198 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 완료: 파일 번호 198, 크기 198 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 시작: 파일 번호 202, 크기 202 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,466 - 파일 전송 완료: 파일 번호 202, 크기 202 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 시작: 파일 번호 204, 크기 204 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 완료: 파일 번호 204, 크기 204 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 시작: 파일 번호 205, 크기 205 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 완료: 파일 번호 205, 크기 205 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 시작: 파일 번호 209, 크기 209 KB, 예상 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 완료: 파일 번호 209, 크기 209 KB, 실제 소요 시간 0.10초
2024-10-13 17:06:15,467 - 파일 전송 시작: 파일 번호 211, 크기 211 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,467 - 파일 전송 완료: 파일 번호 211, 크기 211 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 시작: 파일 번호 218, 크기 218 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 완료: 파일 번호 218, 크기 218 KB, 실제 소요 시간 0.11초
